_page,_row,_table,,교육기관명,순번,연락처,인허가일자,주소,지역                              전체                       서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                   전체                                       전체                       강남구강동구강북구강서구관악구광진구구로구금천구노원구도봉구동대문구동작구마포구서대문구서초구성동구성북구송파구양천구영등포구용산구은평구종로구중구중랑구강서구금정구기장군남구동구동래구부산진구북구사상구사하구서구수영구연제구영도구중구해운대구군위군남구달서구달성군동구북구서구수성구중구강화군계양구남동구동구미추홀구부평구서구연수구옹진군중구광산구남구동구북구서구대덕구동구서구유성구중구남구동구북구울주군중구 가평군고양시 덕양구고양시 일산동구고양시 일산서구과천시광명시광주시구리시군포시김포시남양주시동두천시부천시 소사구부천시 오정구부천시 원미구성남시 분당구성남시 수정구성남시 중원구수원시 권선구수원시 영통구수원시 장안구수원시 팔달구시흥시안산시 단원구안산시 상록구안성시안양시 동안구안양시 만안구양주시양평군여주시연천군오산시용인시 기흥구용인시 수지구용인시 처인구의왕시의정부시이천시파주시평택시포천시하남시화성시괴산군단양군보은군영동군옥천군음성군제천시증평군진천군청주시 상당구청주시 서원구청주시 청원구청주시 흥덕구충주시계룡시공주시금산군논산시당진시보령시부여군서산시서천군아산시예산군천안시 동남구천안시 서북구청양군태안군홍성군강진군고흥군곡성군광양시구례군나주시담양군목포시무안군보성군순천시신안군여수시영광군영암군완도군장성군장흥군진도군함평군해남군화순군경산시경주시고령군구미시김천시문경시봉화군상주시성주군안동시영덕군영양군영주시영천시예천군울릉군울진군의성군청도군청송군칠곡군포항시 남구포항시 북구거제시거창군고성군김해시남해군밀양시사천시산청군양산시의령군진주시창녕군창원시 마산합포구창원시 마산회원구창원시 성산구창원시 의창구창원시 진해구통영시하동군함안군함양군합천군서귀포시제주시강릉시고성군동해시삼척시속초시양구군양양군영월군원주시인제군정선군철원군춘천시태백시평창군홍천군화천군횡성군고창군군산시김제시남원시무주군부안군순창군완주군익산시임실군장수군전주시 덕진구전주시 완산구정읍시진안군개성시                   전체                                                                                          신고지정제구분                   지정제              지정제,지역                              전체                       서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                   전체                                       전체                       강남구강동구강북구강서구관악구광진구구로구금천구노원구도봉구동대문구동작구마포구서대문구서초구성동구성북구송파구양천구영등포구용산구은평구종로구중구중랑구강서구금정구기장군남구동구동래구부산진구북구사상구사하구서구수영구연제구영도구중구해운대구군위군남구달서구달성군동구북구서구수성구중구강화군계양구남동구동구미추홀구부평구서구연수구옹진군중구광산구남구동구북구서구대덕구동구서구유성구중구남구동구북구울주군중구 가평군고양시 덕양구고양시 일산동구고양시 일산서구과천시광명시광주시구리시군포시김포시남양주시동두천시부천시 소사구부천시 오정구부천시 원미구성남시 분당구성남시 수정구성남시 중원구수원시 권선구수원시 영통구수원시 장안구수원시 팔달구시흥시안산시 단원구안산시 상록구안성시안양시 동안구안양시 만안구양주시양평군여주시연천군오산시용인시 기흥구용인시 수지구용인시 처인구의왕시의정부시이천시파주시평택시포천시하남시화성시괴산군단양군보은군영동군옥천군음성군제천시증평군진천군청주시 상당구청주시 서원구청주시 청원구청주시 흥덕구충주시계룡시공주시금산군논산시당진시보령시부여군서산시서천군아산시예산군천안시 동남구천안시 서북구청양군태안군홍성군강진군고흥군곡성군광양시구례군나주시담양군목포시무안군보성군순천시신안군여수시영광군영암군완도군장성군장흥군진도군함평군해남군화순군경산시경주시고령군구미시김천시문경시봉화군상주시성주군안동시영덕군영양군영주시영천시예천군울릉군울진군의성군청도군청송군칠곡군포항시 남구포항시 북구거제시거창군고성군김해시남해군밀양시사천시산청군양산시의령군진주시창녕군창원시 마산합포구창원시 마산회원구창원시 성산구창원시 의창구창원시 진해구통영시하동군함안군함양군합천군서귀포시제주시강릉시고성군동해시삼척시속초시양구군양양군영월군원주시인제군정선군철원군춘천시태백시평창군홍천군화천군횡성군고창군군산시김제시남원시무주군부안군순창군완주군익산시임실군장수군전주시 덕진구전주시 완산구정읍시진안군개성시                   전체                                           교육기관구분                   방문간호간호조무사               방문간호간호조무사
1,7,3,,(주)로젠탈요양보호사교육원,7,031-362-4171,2023-03-06,"경기도 시흥시 은행로 86, 경동프라자 4층 403호 (은행동) [링크]",,
1,8,3,,(주)엔젤21세기부설엔젤요양보호사교육원,8,02-873-2011,2010-07-05,"서울특별시 관악구 남부순환로 1620 (신림동,75-43호 한수빌딩 5층) [링크]",,
1,9,3,,(주)우리요양보호사교육원,9,02-502-0164,2024-02-22,"서울특별시 광진구 아차산로30길 39, 3층 (자양동) [링크]",,
1,10,3,,(주)케어콜요양보호사교육원,10,031-1644-3945,2013-06-03,"경기도 성남시 중원구 희망로 320, 5층 (상대원동) [링크]",,
1,1,4,,,데이터가 존재하지 않습니다.,,,,,
2,1,1, [링크],,,,,,지역                              전체                       서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                   전체                                       전체                       강남구강동구강북구강서구관악구광진구구로구금천구노원구도봉구동대문구동작구마포구서대문구서초구성동구성북구송파구양천구영등포구용산구은평구종로구중구중랑구강서구금정구기장군남구동구동래구부산진구북구사상구사하구서구수영구연제구영도구중구해운대구군위군남구달서구달성군동구북구서구수성구중구강화군계양구남동구동구미추홀구부평구서구연수구옹진군중구광산구남구동구북구서구대덕구동구서구유성구중구남구동구북구울주군중구 가평군고양시 덕양구고양시 일산동구고양시 일산서구과천시광명시광주시구리시군포시김포시남양주시동두천시부천시 소사구부천시 오정구부천시 원미구성남시 분당구성남시 수정구성남시 중원구수원시 권선구수원시 영통구수원시 장안구수원시 팔달구시흥시안산시 단원구안산시 상록구안성시안양시 동안구안양시 만안구양주시양평군여주시연천군오산시용인시 기흥구용인시 수지구용인시 처인구의왕시의정부시이천시파주시평택시포천시하남시화성시괴산군단양군보은군영동군옥천군음성군제천시증평군진천군청주시 상당구청주시 서원구청주시 청원구청주시 흥덕구충주시계룡시공주시금산군논산시당진시보령시부여군서산시서천군아산시예산군천안시 동남구천안시 서북구청양군태안군홍성군강진군고흥군곡성군광양시구례군나주시담양군목포시무안군보성군순천시신안군여수시영광군영암군완도군장성군장흥군진도군함평군해남군화순군경산시경주시고령군구미시김천시문경시봉화군상주시성주군안동시영덕군영양군영주시영천시예천군울릉군울진군의성군청도군청송군칠곡군포항시 남구포항시 북구거제시거창군고성군김해시남해군밀양시사천시산청군양산시의령군진주시창녕군창원시 마산합포구창원시 마산회원구창원시 성산구창원시 의창구창원시 진해구통영시하동군함안군함양군합천군서귀포시제주시강릉시고성군동해시삼척시속초시양구군양양군영월군원주시인제군정선군철원군춘천시태백시평창군홍천군화천군횡성군고창군군산시김제시남원시무주군부안군순창군완주군익산시임실군장수군전주시 덕진구전주시 완산구정읍시진안군개성시                   전체                                                                                          신고지정제구분                   지정제              지정제,
2,2,1,,,,,,,교육기관구분                   요양보호사             요양보호사         교육기관명,
2,1,2, [링크],,,,,,,지역                              전체                       서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                   전체                                       전체                       강남구강동구강북구강서구관악구광진구구로구금천구노원구도봉구동대문구동작구마포구서대문구서초구성동구성북구송파구양천구영등포구용산구은평구종로구중구중랑구강서구금정구기장군남구동구동래구부산진구북구사상구사하구서구수영구연제구영도구중구해운대구군위군남구달서구달성군동구북구서구수성구중구강화군계양구남동구동구미추홀구부평구서구연수구옹진군중구광산구남구동구북구서구대덕구동구서구유성구중구남구동구북구울주군중구 가평군고양시 덕양구고양시 일산동구고양시 일산서구과천시광명시광주시구리시군포시김포시남양주시동두천시부천시 소사구부천시 오정구부천시 원미구성남시 분당구성남시 수정구성남시 중원구수원시 권선구수원시 영통구수원시 장안구수원시 팔달구시흥시안산시 단원구안산시 상록구안성시안양시 동안구안양시 만안구양주시양평군여주시연천군오산시용인시 기흥구용인시 수지구용인시 처인구의왕시의정부시이천시파주시평택시포천시하남시화성시괴산군단양군보은군영동군옥천군음성군제천시증평군진천군청주시 상당구청주시 서원구청주시 청원구청주시 흥덕구충주시계룡시공주시금산군논산시당진시보령시부여군서산시서천군아산시예산군천안시 동남구천안시 서북구청양군태안군홍성군강진군고흥군곡성군광양시구례군나주시담양군목포시무안군보성군순천시신안군여수시영광군영암군완도군장성군장흥군진도군함평군해남군화순군경산시경주시고령군구미시김천시문경시봉화군상주시성주군안동시영덕군영양군영주시영천시예천군울릉군울진군의성군청도군청송군칠곡군포항시 남구포항시 북구거제시거창군고성군김해시남해군밀양시사천시산청군양산시의령군진주시창녕군창원시 마산합포구창원시 마산회원구창원시 성산구창원시 의창구창원시 진해구통영시하동군함안군함양군합천군서귀포시제주시강릉시고성군동해시삼척시속초시양구군양양군영월군원주시인제군정선군철원군춘천시태백시평창군홍천군화천군횡성군고창군군산시김제시남원시무주군부안군순창군완주군익산시임실군장수군전주시 덕진구전주시 완산구정읍시진안군개성시                   전체                                           교육기관구분                   방문간호간호조무사               방문간호간호조무사
2,2,2,,,,,,,,교육기관명
2,1,3,,(사)도시생명네트워크 부설 대동요양보호사교육원,1,042-537-3880,2022-04-13,"대전광역시 동구 용운로1번길 3, 2,3층(대동) [링크]",,
2,2,3,,(사)충남요양보호사협회부설 아산배방요양보호사교육원,2,041-531-2301,2019-07-29,"충청남도 아산시 배방읍 북수동로 43, 기타제1종근린생활시설 1층 [링크]",,
2,3,3,,(사)한국여학사협회강북여성인력개발센터부설요양보호사교육원,3,02-980-2377,2010-10-21,"서울특별시 강북구 도봉로 261, 5층 (수유동, 삼호아파트, 수유프라자) [링크]",,
2,4,3,,(주)강북요양보호사교육원,4,02-946-1119,2023-07-11,"서울특별시 강북구 솔샘로 251, 3층 (미아동) [링크]",,
2,5,3,,(주)단원 요양보호사교육원,5,031-482-3305,2024-02-19,"경기도 안산시 단원구 원포공원1로 19, 원포빌딩 206호 (초지동) [링크]",,
2,6,3,,(주)동부요양보호사교육원,6,051-531-9018,2017-07-24,부산광역시 동래구 미남로 148 (온천동) [링크],,
2,7,3,,(주)로젠탈요양보호사교육원,7,031-362-4171,2023-03-06,"경기도 시흥시 은행로 86, 경동프라자 4층 403호 (은행동) [링크]",,
2,8,3,,(주)엔젤21세기부설엔젤요양보호사교육원,8,02-873-2011,2010-07-05,"서울특별시 관악구 남부순환로 1620 (신림동,75-43호 한수빌딩 5층) [링크]",,
2,9,3,,(주)우리요양보호사교육원,9,02-502-0164,2024-02-22,"서울특별시 광진구 아차산로30길 39, 3층 (자양동) [링크]",,
2,10,3,,(주)케어콜요양보호사교육원,10,031-1644-3945,2013-06-03,"경기도 성남시 중원구 희망로 320, 5층 (상대원동) [링크]",,
2,1,4,,,데이터가 존재하지 않습니다.,,,,,
