_page,_row,_table,,교육일정,보수교육기관명,보수교육기관지정번호,순번,온라인과정,전화번호,주소,지역                                                                      전체                               서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                           전체                                                          전체                                                          전체,팩스번호
2,8,2,,보기 [링크],(재)전라남도사회서비스원 전라남도장기요양요원지원센터,50670000010,18,N,061 -287 -9702,전라남도 무안군 삼향읍 오룡3길 2-0 [링크],,061 -287 -9008
2,9,2,,보기 [링크],(주)강북요양보호사교육원,50128000007,19,N,02  -946 -1119,서울특별시 강북구 솔샘로 251-0 [링크],,02  -988 -0812
2,10,2,,보기 [링크],(주)동부요양보호사교육원,50204000004,20,N,051 -503 -9988,부산광역시 동래구 미남로 148-0 [링크],,051 -501 -9018
3,1,1, [링크],,,,,,,,지역                                                                      전체                               서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                           전체                                                          전체                                                          전체,
3,2,1,,,,,,,,,교육제공방법                                                                           전체                                         대면                                         온라인                                  전체                                                                    교육기관구분                                                                  전체                                      요양보호사 양성교육기관                                      장기요양요원지원센터                                      기타                                                                        전체,
3,3,1,,,,,,,,,교육일자                                                                    ~                                                                    기관명,
3,1,2,,보기 [링크],㈜편안한요양보호사교육원,50129000006,11,N,02  -495 -3600,서울특별시 도봉구 도봉로 681-0 [링크],,02  -6442-6215
3,2,2,,보기 [링크],(사)도시생명네트워크 부설 대동요양보호사교육원,50251000005,12,N,042 -537 -3880,대전광역시 동구 용운로1번길 3-0 [링크],,042 -537 -3881
3,3,2,,보기 [링크],(사)충남요양보호사협회부설아산배방요양보호사교육원,50563000006,13,N,041 -531 -2301,충청남도 아산시 배방읍 북수동로 43-0 [링크],,041 -545 -8666
3,4,2,,보기 [링크],(사)한국노인장기요양기관협회 대전교육원,50251000010,14,N,042 -471 -7474,대전광역시 동구 태전로 52-0 [링크],,042 -471 -7473
3,5,2,,보기 [링크],(사)한국여학사협회 강북여성인력개발센터 부설 요양보호사교육원,50128000006,15,N,02  -980 -2381,서울특별시 강북구 도봉로 261-0 [링크],,02  -980 -2379
3,6,2,,보기 [링크],(사)한국재가장기요양기관협회 대구광역시지부,50221000013,16,N,053 -637 -0861,대구광역시 달서구 비슬로550길 32-0 [링크],,053 -722 -0954
3,7,2,,보기 [링크],(재)광주광역시사회서비스원 장기요양요원지원센터,50242000008,17,N,062 -607 -5294,광주광역시 서구 화정로 149-0 [링크],,062 -607 -5299
3,8,2,,보기 [링크],(재)전라남도사회서비스원 전라남도장기요양요원지원센터,50670000010,18,N,061 -287 -9702,전라남도 무안군 삼향읍 오룡3길 2-0 [링크],,061 -287 -9008
3,9,2,,보기 [링크],(주)강북요양보호사교육원,50128000007,19,N,02  -946 -1119,서울특별시 강북구 솔샘로 251-0 [링크],,02  -988 -0812
3,10,2,,보기 [링크],(주)동부요양보호사교육원,50204000004,20,N,051 -503 -9988,부산광역시 동래구 미남로 148-0 [링크],,051 -501 -9018
